Comment,Designator,Footprint,LCSC
B,"BOOT1,RESET1",SW_SPST_TL3342,C115351
1k,"R3,R4",R_0402_1005Metric,C11702
100nF,"C10,C11,C12,C13,C14,C15,C16,C17,C6,C7,C8,C9",C_0402_1005Metric,C1525
4.7n,C_Shield1,C_0402_1005Metric,C1538
22pF,"C2,C3",C_0402_1005Metric,C1555
RP2040,U1,RP2040-QFN-56,C2040
USB_C,J1,Molex-216990_GCT-USB45xx_HRO-TYPE-C-31-M-13x,C223906
27R,"R6,R7",R_0603_1608Metric,C25190
10k,R5,R_0402_1005Metric,C25744
5.1k,"R1,R2",R_0402_1005Metric,C25905
1M,R_Shield1,R_0402_1005Metric,C26083
1uF,"C1,C4,C5",C_0402_1005Metric,C52923
XC6206,U3,SOT-23,C5446
500mA,F1,Fuse_1206_3216Metric,C70076
1N4148W,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D4,D5,D6,D7,D8,D9",D_SOD-123,C81598
SRV05-4,U2,SOT-23-6-routable,C85364
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U4,SOIC-8_5.23x5.23mm_P1.27mm,C97521
